author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
A. G. Amitha Perera,0,1,0,0,0,0,0,0,0,0,0,1,0.000
A. J. Piergiovanni,0,0,0,0,0,0,0,0,0,0,1,1,1.000
A. Keith Dunker,0,0,1,0,0,0,0,0,0,0,0,1,0.000
A. Kumaran 0001,2,1,0,1,0,0,0,0,0,0,0,4,0.000
A. M. Boek,1,0,0,0,0,0,0,0,0,0,0,1,0.000
A. Nur Zincir-Heywood,0,0,1,0,0,0,0,0,0,0,0,1,0.000
A. P. Sarath Chandar,0,0,0,0,0,0,0,1,0,0,0,1,0.000
A. Robert Calderbank,0,0,0,0,0,0,1,0,1,0,0,2,0.500
A. S. M. Mahbub Morshed,0,1,0,0,0,0,0,0,0,0,0,1,0.000
A.-Yeong Kim,0,0,0,0,0,0,1,0,0,0,1,2,0.500
Aaditya Prakash,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Aaditya Ramdas,0,0,0,0,0,0,0,0,2,0,2,4,1.000
Aakas Zhiyuli,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aamir Anis,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Aapo Hyvärinen,0,0,0,0,1,0,0,0,0,1,0,2,0.500
Aaron Adler,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Aaron C. Courville,1,0,1,0,1,0,1,2,1,2,5,14,0.571
Aaron Call,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Aaron Clauset,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Aaron Defazio,0,0,0,0,0,1,0,1,0,1,0,3,0.333
Aaron E. Tenney,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Aaron Heller,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aaron Hertzmann,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Aaron Hunter,1,0,0,0,0,0,0,0,2,0,0,3,0.667
Aaron Isaksen,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aaron Johnson,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Aaron Kershenbaum,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Aaron Klein,0,0,0,0,0,0,0,0,1,1,0,2,1.000
