author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
A. Ali,0,0,0,0,1,0,0,0,0,0,0,1,0.000
A. Ardeshir Goshtasby,0,0,0,0,0,0,0,1,0,0,0,1,0.000
A. Aydin Alatan,0,0,0,0,0,0,0,0,0,1,0,1,1.000
A. Berger,0,0,0,1,0,0,0,0,0,0,0,1,0.000
A. Cengiz ztireli,0,0,0,0,0,0,0,0,0,0,1,1,1.000
A. Chandrasekhar,0,0,0,0,0,0,0,0,0,1,0,1,1.000
A. Claude Boccara,0,0,0,0,0,0,0,0,0,0,1,1,1.000
A. David Marshall,0,0,1,0,1,0,1,0,0,0,0,3,0.000
A. Elhayek,0,0,0,0,0,1,0,0,1,0,0,2,0.500
A. Enis etin,1,0,0,0,0,0,0,0,0,0,0,1,0.000
A. G. Amitha Perera,0,1,0,0,1,0,0,0,0,0,0,2,0.000
A. Hartfiel,0,0,0,0,1,0,0,0,0,0,0,1,0.000
A. Iglesias,0,0,0,0,0,0,0,1,0,0,0,1,0.000
A. Islam,0,0,1,0,0,0,0,0,0,0,0,1,0.000
A. J. Piergiovanni,0,0,0,0,0,0,0,0,0,0,1,1,1.000
A. Jain,0,0,0,0,1,0,0,0,0,0,0,1,0.000
A. Karasik,0,0,0,1,0,0,0,0,0,0,0,1,0.000
A. Keith Dunker,0,0,1,0,0,0,0,0,0,0,0,1,0.000
A. Kumaran 0001,2,1,0,1,0,0,0,0,0,0,0,4,0.000
A. Lynn Abbott,1,0,0,0,0,0,0,0,0,0,0,1,0.000
A. M. Boek,1,0,0,0,0,0,0,0,0,0,0,1,0.000
A. M. Cheriyadat,0,0,0,0,1,0,0,0,0,0,0,1,0.000
A. M. Martinez,0,0,0,0,1,0,0,0,0,0,0,1,0.000
A. Makhanov,0,0,1,0,0,0,0,0,0,0,0,1,0.000
A. Miller,0,0,0,0,1,0,0,0,0,0,0,1,0.000
A. N. Rajagopalan,0,0,0,1,0,0,1,1,2,1,2,8,0.625
A. Nur Zincir-Heywood,0,0,1,0,0,0,0,0,0,0,0,1,0.000
A. P. Sarath Chandar,0,0,0,0,0,0,0,1,0,0,0,1,0.000
A. Rashid,0,0,0,0,1,0,0,0,0,0,0,1,0.000
A. Robert Calderbank,0,0,0,0,0,0,1,0,1,0,0,2,0.500
A. Robles-Kelly,0,0,0,0,1,0,0,0,0,0,0,1,0.000
A. S. M. Mahbub Morshed,0,1,0,0,0,0,0,0,0,0,0,1,0.000
A. Sankaranarayanan,0,0,0,1,0,0,0,0,0,0,0,1,0.000
A. Soto,0,1,0,0,0,0,0,0,0,0,0,1,0.000
A. Wong,0,0,0,0,1,0,0,0,0,0,0,1,0.000
A.-Yeong Kim,0,0,0,0,0,0,1,0,0,0,1,2,0.500
