author,title,year,conference
Miroslaw Truszczynski_Stefan Woltran,Hyperequivalence of Logic Programs with Respect to Supported Models.,2008,AAAI
Guibing Guo_Jie Zhang_Neil Yorke-Smith,TrustSVD: Collaborative Filtering with Both the Explicit and Implicit Influence of User Trust and of Item Ratings.,2015,AAAI
Xinwang Liu_Yong Dou_Jianping Yin_Lei Wang 0001_En Zhu,Multiple Kernel k-Means Clustering with Matrix-Induced Regularization.,2016,AAAI
Mickey Brautbar_Michael J. Kearns_Umar Syed,Private and Third-Party Randomization in Risk-Sensitive Equilibrium Concepts.,2010,AAAI
Shirin Sohrabi_Anton V. Riabov_Octavian Udrea,State Projection via AI Planning.,2017,AAAI
Maximilian Nickel_Lorenzo Rosasco_Tomaso A. Poggio,Holographic Embeddings of Knowledge Graphs.,2016,AAAI
Kyle Lund_Sam Dietrich_Scott Chow_James C. Boerkoel,Robust Execution of Probabilistic Temporal Plans.,2017,AAAI
Russell Bent_Alan Berscheid_G. Loren Toole,Transmission Network Expansion Planning with Simulation Optimization.,2010,AAAI
Vibhav Gogate_Rina Dechter,Approximate Counting by Sampling the Backtrack-free Search Space.,2007,AAAI
Bojun Huang,Pruning Game Tree by Rollouts.,2015,AAAI
Yuchen Guo_Guiguang Ding_Jungong Han_Yue Gao,Zero-Shot Recognition via Direct Classifier Learning with Transferred Samples and Pseudo Labels.,2017,AAAI
Wei Gao_Lu Wang_Yu-Feng Li_Zhi-Hua Zhou,Risk Minimization in the Presence of Label Noise.,2016,AAAI
Amos Azaria_Ya'akov Gal_Claudia V. Goldman_Sarit Kraus,Advice Provision for Choice Selection Processes with Ranked Options.,2014,AAAI
Saeedeh Shekarpour_Edgard Marx_Sören Auer_Amit P. Sheth,RQUERY: Rewriting Natural Language Queries on Knowledge Graphs to Alleviate the Vocabulary Mismatch Problem.,2017,AAAI
Feng Wu_Shlomo Zilberstein_Xiaoping Chen,Trial-Based Dynamic Programming for Multi-Agent Planning.,2010,AAAI
Mingdong Ou_Peng Cui_Jun Wang_Fei Wang 0001_Wenwu Zhu 0001,Probabilistic Attributed Hashing.,2015,AAAI
Levi Lelis_Sandra Zilles_Robert C. Holte,Time Complexity of Iterative-Deepening A*: The Informativeness Pathology (Abstract).,2011,AAAI
Shen-Yi Zhao_Gong-Duo Zhang_Wu-Jun Li,Lock-Free Optimization for Non-Convex Problems.,2017,AAAI
Sarah Marie Brown_Andrea Webb_Rami Mangoubi_Jennifer G. Dy,A Sparse Combined Regression-Classification Formulation for Learning a Physiological Alternative to Clinical Post-Traumatic Stress Disorder Scores.,2015,AAAI
Nathanael Hyafil_Craig Boutilier,Partial Revelation Automated Mechanism Design.,2007,AAAI
Buyue Qian_Xiang Wang 0001_Ian Davidson,Propagating Ranking Functions on a Graph: Algorithms and Applications.,2015,AAAI
Eric Griffin Jackson,Compact CFR.,2016,AAAI
Amar Viswanathan,Pragmatic Querying in Heterogeneous Knowledge Graphs.,2016,AAAI
Vikas Shivashankar_Ron Alford_David W. Aha,Incorporating Domain-Independent Planning Heuristics in Hierarchical Planning.,2017,AAAI
Laura E. Brown_David Kauchak,EAAI-13 Preface.,2013,AAAI
Jiazhen He_Benjamin I. P. Rubinstein_James Bailey_Rui Zhang 0003_Sandra Milligan_Jeffrey Chan,MOOCs Meet Measurement Theory: A Topic-Modelling Approach.,2016,AAAI
Jin Huang_Feiping Nie_Heng Huang,Robust Discrete Matrix Completion.,2013,AAAI
Robert C. Holte_Yusra Alkhazraji_Martin Wehrle,A Generalization of Sleep Sets Based on Operator Sequence Redundancy.,2015,AAAI
Timothy Weale,Spatial Reference Resolution for an Embodied Dialogue Agent.,2007,AAAI
Jeff Heflin_Dezhao Song,Ontology Instance Linking: Towards Interlinked Knowledge Graphs.,2016,AAAI
