author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total
Aparajita Sen,0,1,0,0,0,0,0,0,0,0,0,1
Ian N. Davidson,0,0,0,0,1,0,3,0,0,0,0,4
Philippe Van Kessel,0,0,0,0,0,1,0,0,0,0,0,1
Yuanliu Liu,0,0,0,0,0,0,0,0,1,1,0,2
Zhiyi Luo,0,0,0,0,0,0,0,0,0,1,0,1
Peggy L. Peissig,0,0,0,0,0,1,0,0,0,2,1,4
Chuck Kalish,1,0,0,1,0,0,0,0,0,0,0,2
Ohad Ben-Shahar,0,1,0,1,3,1,0,0,0,0,0,6
Ismail Sengor Altingovde,0,0,0,0,0,0,0,0,1,0,0,1
Zhengyu Su,0,0,0,0,0,0,2,0,0,0,0,2
Benjamin Huhle,0,1,0,0,0,0,0,0,0,0,0,1
Caleb Raible-Clark,0,0,0,0,0,0,0,1,0,0,0,1
Irene Amerini,0,0,0,0,0,0,0,0,0,0,1,1
Paulo F. U. Gotardo,0,0,0,0,1,0,0,0,0,0,0,1
Danilo Bruno,0,0,0,0,0,0,1,0,0,0,0,1
Songyao Jiang,0,0,0,0,0,0,0,0,0,0,1,1
Rami R. Hagege,0,0,0,0,0,0,0,0,0,1,0,1
Sandra Zilles,0,1,0,0,1,1,0,1,1,3,1,9
T. Hoang Ngan Le,0,0,0,0,0,0,0,0,0,2,1,3
El Mahdi El Mhamdi,0,0,0,0,0,0,0,0,0,0,2,2
Rasmus Larsen,1,4,0,0,0,0,0,0,0,0,0,5
Justin Matejka,0,0,0,0,0,0,0,1,0,0,0,1
Michael Shtutman,0,0,0,0,0,0,0,0,0,0,1,1
Marc R. C. van Dongen,1,0,0,0,0,0,0,0,0,0,0,1
Dimitris Achlioptas,0,0,0,0,0,0,1,0,0,0,0,1
Shengliang Xu,0,1,0,0,1,0,0,0,0,0,0,2
Magdalena Ivanovska,0,0,0,0,0,0,0,0,0,1,0,1
Justin Gilmer,0,0,0,0,0,0,0,0,0,0,1,1
Son Lam Phung,0,0,0,0,1,0,0,0,0,0,0,1
Hatem Alismail,0,0,0,0,0,1,0,0,0,0,0,1
Erhan Gundogdu,0,0,0,0,0,0,0,0,1,1,0,2
Emmanuelle-Anna Dietz,0,0,0,0,0,0,0,1,0,0,0,1
Jaroslav M. Fowkes,0,0,0,0,0,0,0,0,0,1,0,1
Chung-Min Chen,0,1,0,0,0,0,0,0,0,0,0,1
Ashkan Norouzi-Fard,0,0,0,0,0,0,0,0,0,1,1,2
Ju Shen,0,0,0,0,0,0,1,0,0,0,0,1
Jeffrey Doering,0,0,0,0,0,0,0,1,0,0,0,1
Anton Osokin,0,0,0,1,1,1,1,0,1,0,1,6
Himanshu Arora,2,1,0,0,0,0,0,0,0,0,0,3
Sarah M. Erfani,0,0,0,0,0,0,0,0,1,1,1,3
Victor Vu,0,0,0,0,0,1,0,0,0,0,0,1
Daniel Kudenko,0,0,0,0,0,0,0,1,0,0,0,1
Gang Zhao,0,0,0,0,0,1,0,0,0,1,0,2
Dong Cao,0,0,0,0,0,0,0,0,0,2,0,2
Siddharth Barman,0,0,0,0,0,0,1,0,0,0,0,1
Ming Yang,4,2,0,0,4,0,0,1,1,2,2,16
Yan Liu 0002,4,0,3,1,0,0,1,4,0,0,0,13
Guillaume Saint-Jacques,0,0,0,0,0,0,0,0,0,0,1,1
Chuong B. Do,1,1,0,0,0,0,0,0,0,0,0,2
Fred S. Richardson,1,0,0,0,0,0,0,0,0,0,0,1
Christos Hadjinikolis,0,0,0,0,0,0,1,0,0,0,0,1
Joshua Hernandez,0,0,0,0,0,0,0,0,1,1,0,2
Bei Peng,0,0,0,0,0,0,0,1,1,0,0,2
Brian McWilliams,0,0,0,0,0,0,1,1,1,2,0,5
Dorothy Espelage,0,0,0,0,0,1,0,0,0,0,0,1
Wei Wu,0,0,0,0,3,0,3,1,2,1,2,12
Christine Largouët,0,0,0,0,0,0,0,0,0,0,1,1
Yukitaka Kusumura,0,0,0,0,0,0,0,0,0,1,0,1
Philip L. Davidson,0,0,0,0,0,0,0,0,0,0,1,1
Jessica Moszkowicz,0,0,0,0,0,0,0,0,1,0,0,1
Peter Dayan,1,3,2,0,1,1,1,1,0,0,0,10
Rongju Sun,0,0,0,0,0,0,0,0,1,0,0,1
Jan Ramon,2,1,1,0,0,0,0,0,0,1,0,5
Zhen Chen,0,0,0,0,0,0,0,0,0,0,1,1
Zequn Jie,0,0,0,0,0,0,0,0,0,2,3,5
Linda Kato,0,0,0,0,0,0,0,1,1,0,0,2
Petr Kosina,0,0,0,0,1,0,0,0,0,0,0,1
Rikio Chiba,0,0,0,0,0,0,0,0,0,0,1,1
Huaijin G. Chen,0,0,0,0,0,0,0,0,1,1,0,2
Steffen Lange,0,1,0,0,0,0,0,0,0,0,0,1
Scott Kuindersma,0,0,0,2,1,0,0,0,0,0,0,3
Richard G. Jackson,0,0,0,0,0,0,0,0,0,0,1,1
Naoufel Werghi,0,0,0,0,0,0,0,0,1,0,1,2
Tristan M. Behrens,0,0,0,0,0,0,1,0,0,0,0,1
Karim Kassam,0,0,0,1,0,0,0,0,0,0,0,1
Sachindra Joshi,0,1,0,0,0,0,0,0,0,0,1,2
M. Philipose,0,0,0,1,0,0,0,0,0,0,0,1
Tian Yu Liu,0,0,0,0,0,1,0,0,0,0,0,1
Nam Nguyen,0,1,1,0,0,0,0,0,0,0,1,3
Alejandro Figueroa 0001,0,0,0,0,1,0,1,0,0,0,0,2
Min Joon Seo,0,0,0,0,0,0,0,1,0,0,1,2
Cheng-Xia Chang,0,0,0,0,0,0,2,0,0,0,0,2
Hiroshi Fukui,0,0,0,0,0,0,0,0,0,0,1,1
Zhun Zhong,0,0,0,0,0,0,0,0,0,0,1,1
Shi-Yong Neo,0,1,0,0,0,0,0,0,0,0,0,1
Guobin Wu,0,0,0,0,0,0,0,0,0,0,1,1
Matteo Poggi,0,0,0,0,0,0,0,0,0,0,2,2
Yifei Ma,0,0,0,0,0,0,1,0,0,0,1,2
Hedda Rahel Schmidtke,1,0,0,0,0,0,0,0,0,0,0,1
Samik Basu,0,0,0,2,1,0,0,0,0,0,0,3
Lawrence H. Staib,0,0,1,1,0,0,0,0,0,0,0,2
Walter F. Stewart,0,0,0,0,0,0,0,0,0,1,2,3
Xiangru Chen,0,0,0,0,1,0,0,0,0,0,0,1
Huaigu Cao,1,0,0,0,0,0,0,0,0,0,0,1
Marc Bron,0,0,0,1,0,1,2,0,1,0,0,5
Cristian Soto,0,0,1,0,0,0,0,0,0,0,0,1
Peixi Peng,0,0,0,0,0,0,0,0,0,1,0,1
H. Brendan McMahan,2,0,1,1,0,1,3,2,0,0,0,10
Hongzhi Liu,0,0,0,0,0,0,0,0,0,0,1,1
Degang Zhang,0,0,0,1,0,0,0,0,0,0,0,1
Gerald Quon,0,1,0,0,0,0,0,0,0,0,0,1
Bingsheng Wang,0,0,0,0,1,0,1,1,0,0,0,3
Yiu Sang Moon,1,1,0,0,0,0,0,0,0,0,0,2
Jose Sepulveda,0,0,0,0,0,0,0,0,1,0,0,1
Hisashi Kashima,2,0,0,0,2,2,3,0,3,2,3,17
Yoko Nakajima,0,0,0,0,0,0,0,0,1,0,0,1
Jörg Hendrik Kappes,0,0,0,0,0,1,2,0,0,0,0,3
Daniel Xavier de Sousa,0,0,0,0,0,0,0,0,0,1,0,1
Mario Lipinski,0,0,0,0,0,0,1,0,0,0,0,1
Karthika Mohan,0,0,0,0,0,0,1,1,0,0,0,2
Bojan Cukic,0,0,1,0,0,0,0,0,1,0,0,2
Florin Teodorescu,0,0,0,0,0,0,0,0,0,0,1,1
Qi Tian,0,2,0,0,5,7,2,7,2,4,8,37
Leonid Pishchulin,0,0,0,0,1,1,1,1,1,1,1,7
Nima Anari,0,0,0,0,0,0,0,0,0,1,0,1
Sebastian Bauer,0,0,0,1,0,0,0,0,0,0,0,1
Yulong Chen,0,0,0,0,0,0,0,0,0,1,0,1
Christian Böhm,0,0,1,1,1,1,1,0,0,1,2,8
Shuting Wang,0,0,0,0,0,0,0,0,0,1,0,1
Xiance Si,0,0,0,0,0,1,0,0,0,0,0,1
Carlos Mencía,0,0,0,0,0,0,0,0,1,0,0,1
Brendan Tran Morris,0,0,0,0,0,0,0,0,0,0,1,1
David E. Vaillancourt,0,0,0,0,0,0,0,0,0,1,0,1
Anand Iyer,0,0,0,0,0,0,0,1,0,0,1,2
Wenkui Ding,0,0,0,0,0,0,1,0,0,0,0,1
David Hallac,0,0,0,0,0,0,0,0,1,0,2,3
Omer Geiger,0,0,0,0,0,0,0,0,1,0,0,1
Serhat Selcuk Bucak,0,0,0,1,1,0,0,0,0,0,0,2
Duncan Watts,0,0,0,0,0,0,0,0,0,1,0,1
Lynn Ang,0,0,0,0,0,0,0,0,0,0,1,1
Tobias Rehrl,0,0,0,1,0,0,0,0,0,0,0,1
Johnathan Gohde,0,0,0,0,0,0,0,0,1,0,0,1
Christian Wallraven,0,0,0,0,0,0,1,0,0,0,0,1
Rolf Jagerman,0,0,0,0,0,0,0,0,0,0,1,1
Guan Wang,0,0,0,0,0,2,1,0,0,0,0,3
Masaaki Mochimaru,1,0,0,0,1,0,0,0,0,0,0,2
Guillem Collell,0,0,0,0,0,0,0,0,0,0,1,1
Hsiu-Chin Lin,0,0,0,0,1,0,0,0,0,0,0,1
Rui Zhang,0,0,0,0,0,0,0,0,1,1,2,4
Benedict J. Leimkuhler,0,0,0,0,0,0,0,0,1,0,0,1
Martin Degeling,0,0,0,0,0,0,0,0,0,0,1,1
Cristian Ruz,0,0,0,0,0,0,0,0,0,0,1,1
Yemin Luo,0,1,0,0,0,0,0,0,0,0,0,1
Muhammad Imran Razzak,0,0,0,0,0,0,0,0,0,0,1,1
Alexander J. Ratner,0,0,0,0,0,0,0,0,0,1,1,2
Dongyi Guan,0,0,0,0,0,0,3,0,0,0,0,3
Shuangjiu Xiao,1,0,0,0,0,0,0,0,0,0,0,1
Madhavan Pallan,0,0,0,0,0,0,0,0,0,1,0,1
Allen P. Miraflor,0,0,0,0,0,0,0,0,0,0,1,1
Sven Jacobi,1,0,0,0,0,0,0,0,0,0,0,1
Nicole Wolter,0,0,0,0,1,0,0,0,0,0,0,1
Salah Eddine Bekhouche,0,0,0,0,0,0,0,0,0,0,1,1
Avneesh Sud,0,0,0,0,0,0,1,1,0,0,0,2
Yingjian Wang,0,0,0,0,1,0,0,0,1,0,0,2
Arthur Choi,0,2,1,0,0,1,3,2,3,4,1,17
Haixin Sun,0,0,0,0,0,0,0,1,0,0,0,1
Trevor J. M. Bench-Capon,1,0,0,0,0,0,0,0,0,0,0,1
Michael Kamp,0,0,0,0,0,0,0,0,0,0,1,1
Ricardo de Aldama,0,0,0,0,0,0,1,0,0,0,0,1
Feifei Pan,0,0,0,0,0,0,0,0,1,0,0,1
Lane A. Hemaspaandra,2,0,1,1,0,0,1,1,1,0,1,8
Xuecheng Nie,0,0,0,0,0,0,0,0,0,0,1,1
Noam Hazon,0,2,1,0,1,0,2,1,0,1,0,8
Christopher Dugan,1,0,0,0,0,0,0,0,0,0,0,1
Yuri Malitsky,0,0,0,1,0,1,1,2,3,1,0,9
Vadim Zaslawski,0,0,0,1,0,0,0,0,0,0,0,1
Peter Richtárik,0,0,0,0,0,0,0,0,1,0,0,1
David Fernández-Duque,0,0,0,0,1,0,0,0,0,0,0,1
Steven Luis,0,0,0,1,1,0,0,0,0,0,0,2
Abdelhamid Boudane,0,0,0,0,0,0,0,0,0,1,0,1
Dejan Arsic,0,0,0,2,0,0,0,0,0,0,0,2
Mohamed Bouguessa,0,1,0,0,0,0,0,0,0,0,0,1
Arkaitz Zubiaga,0,0,0,0,0,0,0,0,1,0,0,1
James Allan,6,3,1,3,1,2,3,3,1,2,1,26
Kirill Neklyudov,0,0,0,0,0,0,0,0,0,0,1,1
Zhuwen Li,0,0,0,0,0,0,0,1,1,1,0,3
François Duport,0,0,0,0,0,1,0,0,0,0,0,1
Kaihua Zhang,0,0,0,0,0,0,0,0,0,0,1,1
Michael J. Cafarella,1,0,0,0,0,0,0,1,0,0,0,2
Manish Jain,0,1,1,1,1,1,1,1,0,0,0,7
Joseph Lehec,0,0,0,0,0,0,0,0,1,0,0,1
Ho Chung Leon Law,0,0,0,0,0,0,0,0,0,0,1,1
Katherine Chen,0,0,0,0,0,1,0,0,0,0,0,1
Aining Yin,0,1,0,0,0,0,0,0,0,0,0,1
Joshua Hartman,0,0,0,0,0,0,0,1,0,0,0,1
Suma Bhat,0,0,0,0,0,0,0,0,0,0,1,1
Amelia C. Regan,0,0,0,0,0,0,0,1,0,0,0,1
Sabine Müller,0,0,0,0,0,0,0,0,1,0,0,1
Alexander Artikis,0,0,0,1,0,0,0,0,0,0,0,1
Rob McAlpine,0,0,0,0,0,0,1,0,0,0,0,1
Kushal Kafle,0,0,0,0,0,0,0,0,0,1,0,1
Lu Wang,0,0,1,0,0,1,0,0,0,2,0,4
Shu Wu,0,0,0,0,1,0,0,0,2,4,2,9
Amitava Das,0,0,0,0,0,0,0,0,0,0,1,1
John Rochford,0,0,0,0,0,0,0,0,0,1,0,1
Daniel Bartz,0,0,0,0,0,0,1,1,0,0,0,2
